dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,2,100,0.019286800001282245,4,400,23506,413
euclidean_distance,2,110,0.01581899999655434,3,330,19302,340
euclidean_distance,2,121,0.012429200000042329,2,242,15368,248
euclidean_distance,2,133,0.02376169999843114,3,399,28656,409
euclidean_distance,2,146,0.02763039999990724,3,438,33388,447
euclidean_distance,2,160,0.03330579999965266,3,480,40724,490
euclidean_distance,2,176,0.04016559999945457,3,528,49506,538
euclidean_distance,2,193,0.04939630000080797,3,579,60732,589
euclidean_distance,2,212,0.10379990000001271,5,1060,126844,1077
euclidean_distance,2,233,0.07033740000042599,3,699,86812,709
euclidean_distance,2,256,0.055741500000294764,2,512,67072,518
euclidean_distance,2,281,0.14220109999951092,4,1124,171532,1137
euclidean_distance,2,309,0.12858159999814234,3,927,147120,937
euclidean_distance,2,339,0.2129181000018434,4,1356,250784,1370
euclidean_distance,2,372,0.17461109999931068,3,1116,211086,1125
euclidean_distance,2,409,0.27974859999812907,4,1636,342224,1650
euclidean_distance,2,449,0.2746084000027622,3,1347,333588,1357
euclidean_distance,2,493,0.41894690000117407,4,1972,510240,1985
euclidean_distance,2,542,0.5194910999998683,4,2168,627330,2182
euclidean_distance,2,596,0.29750720000083675,2,1192,358792,1198
euclidean_distance,2,655,0.8194003999997221,4,2620,994528,2634
euclidean_distance,2,720,0.9258063999986916,4,2880,1084802,2893
euclidean_distance,2,792,0.8378303999998025,3,2376,1001162,2386
euclidean_distance,2,871,0.631664799999271,2,1742,763928,1748
euclidean_distance,2,958,1.5438542000010784,4,3832,1867930,3845
euclidean_distance,2,1053,2.0685685999997077,4,4212,2501912,4226
euclidean_distance,2,1158,1.1156989999981306,2,2316,1347912,2322
euclidean_distance,2,1273,2.7184250000027532,4,5092,3307880,5106
euclidean_distance,2,1400,2.4208431000006385,3,4200,2954282,4210
euclidean_distance,2,1540,4.109427499999583,4,6160,4990602,6174
euclidean_distance,2,1694,3.5885637999999744,3,5082,4333812,5092
euclidean_distance,2,1863,4.718308999999863,3,5589,5241546,5599
euclidean_distance,2,2049,5.186634400000912,3,6147,6323364,6157
euclidean_distance,2,2253,9.881416500000341,4,9012,11465832,9026
euclidean_distance,2,2478,10.694030099999509,4,9912,12799328,9926
euclidean_distance,2,2725,10.361411699999735,3,8175,12368868,8185
euclidean_distance,2,2997,8.018214899999293,2,5994,8999992,6000
euclidean_distance,2,3296,14.508044599999266,3,9888,16358888,9898
euclidean_distance,2,3625,11.170625599999767,2,7250,13162376,7256
euclidean_distance,2,3987,22.86649589999797,3,11961,27457950,11971
euclidean_distance,2,4385,23.883419900001172,3,13155,28991784,13165
euclidean_distance,2,4823,38.72110260000045,4,19292,46796904,19306
euclidean_distance,2,5305,34.917628900002455,3,15915,42505188,15925
euclidean_distance,2,5835,42.32209570000123,3,17505,51399378,17515
euclidean_distance,2,6418,70.64692309999737,4,25672,87220140,25686
euclidean_distance,2,7059,64.72894580000138,3,21177,81399834,21187
euclidean_distance,2,7764,48.155230599997594,2,15528,60326330,15534
euclidean_distance,2,8540,90.60149720000118,3,25620,114664902,25630
euclidean_distance,2,9394,147.81538509999882,4,37576,186377334,37590
euclidean_distance,3,100,0.023728500000288477,5,500,27524,523
euclidean_distance,3,110,0.01079070000196225,3,330,13624,344
euclidean_distance,3,121,0.008503699998982484,2,242,10730,251
euclidean_distance,3,133,0.016029599999455968,3,399,19899,413
euclidean_distance,3,146,0.025269400000979658,4,584,32152,602
euclidean_distance,3,160,0.030115800000203308,4,640,38176,659
euclidean_distance,3,176,0.017907100002048537,2,352,22060,361
euclidean_distance,3,193,0.04247810000015306,4,772,53664,791
euclidean_distance,3,212,0.038197400001081405,3,636,47634,649
euclidean_distance,3,233,0.03084630000012112,2,466,38058,475
euclidean_distance,3,256,0.07291619999887189,4,1024,91620,1041
euclidean_distance,3,281,0.06607230000008713,3,843,82367,856
euclidean_distance,3,309,0.19476880000001984,6,1854,245290,1886
euclidean_distance,3,339,0.08632480000233045,2,678,109532,687
euclidean_distance,3,372,0.11648690000220085,3,1116,145938,1131
euclidean_distance,3,409,0.1958453000006557,4,1636,242156,1655
euclidean_distance,3,449,0.23368280000067898,4,1796,290506,1816
euclidean_distance,3,493,0.20132080000257702,3,1479,250275,1494
euclidean_distance,3,542,0.32480129999748897,4,2168,402378,2187
euclidean_distance,3,596,0.4362775000008696,4,2384,541176,2403
euclidean_distance,3,655,0.35434450000320794,3,1965,437987,1979
euclidean_distance,3,720,0.5950799999991432,4,2880,739004,2899
euclidean_distance,3,792,0.7239652999996906,4,3168,893112,3188
euclidean_distance,3,871,0.6200308999978006,2,1742,765746,1751
euclidean_distance,3,958,1.4914245999971172,4,3832,1862404,3850
euclidean_distance,3,1053,2.1133389999995416,6,6318,2626310,6351
euclidean_distance,3,1158,0.7263404000004812,2,2316,903366,2325
euclidean_distance,3,1273,3.4474406000008457,6,7638,3727956,7671
euclidean_distance,3,1400,6.830086900001334,10,14000,8486150,14051
euclidean_distance,3,1540,4.0720236000015575,6,9240,5058634,9271
euclidean_distance,3,1694,3.460537299997668,4,6776,4311236,6796
euclidean_distance,3,1863,4.913769200000388,5,9315,6118749,9341
euclidean_distance,3,2049,5.110761100000673,4,8196,5808190,8215
euclidean_distance,3,2253,6.070081099998788,4,9012,6928748,9031
euclidean_distance,3,2478,4.967745899997681,3,7434,6180446,7448
euclidean_distance,3,2725,8.517084300001443,4,10900,10061564,10919
euclidean_distance,3,2997,7.187440800000331,3,8991,9030687,9005
euclidean_distance,3,3296,20.29275780000171,6,19776,24812750,19808
euclidean_distance,3,3625,21.26637480000136,4,14500,26530406,14519
euclidean_distance,3,3987,13.462796900003013,3,11961,16301871,11975
euclidean_distance,3,4385,47.091620299997885,6,26310,58316912,26337
euclidean_distance,3,4823,74.55811710000125,8,38584,93361376,38623
euclidean_distance,3,5305,14.968748700001015,2,10610,18810618,10619
euclidean_distance,3,5835,38.39638080000077,4,23340,47276848,23359
euclidean_distance,3,6418,45.242110300001514,4,25672,56624700,25691
euclidean_distance,3,7059,41.664927899997565,3,21177,51850701,21191
euclidean_distance,3,7764,69.6107245000021,4,31056,87206494,31077
euclidean_distance,3,8540,100.00143600000229,5,42700,125493626,42724
euclidean_distance,3,9394,46.877671800000826,2,18788,58910694,18797
euclidean_distance,3,10333,297.57722880000074,9,92997,373717961,93045
euclidean_distance,4,100,0.008032199999433942,3,300,9394,317
euclidean_distance,4,110,0.012028699999063974,4,440,15160,466
euclidean_distance,4,121,0.01490909999847645,4,484,18000,509
euclidean_distance,4,133,0.0171905000024708,4,532,21540,556
euclidean_distance,4,146,0.015560100000584498,3,438,19100,456
euclidean_distance,4,160,0.03732229999877745,5,800,47230,831
euclidean_distance,4,176,0.029506800001399824,4,704,36088,729
euclidean_distance,4,193,0.025325500002509216,3,579,31636,597
euclidean_distance,4,212,0.05406589999984135,5,1060,64662,1090
euclidean_distance,4,233,0.04702199999883305,4,932,59582,955
euclidean_distance,4,256,0.058126700001594145,4,1024,73040,1051
euclidean_distance,4,281,0.05046629999924335,3,843,63464,859
euclidean_distance,4,309,0.1742420000009588,8,2472,218758,2524
euclidean_distance,4,339,0.10057809999852907,3,1017,125236,1034
euclidean_distance,4,372,0.1851364000031026,5,1860,225806,1888
euclidean_distance,4,409,0.27391809999971883,7,2863,342440,2911
euclidean_distance,4,449,0.24855190000016592,5,2245,301960,2277
euclidean_distance,4,493,0.20582070000091335,3,1479,257082,1498
euclidean_distance,4,542,0.30834690000119735,4,2168,377660,2192
euclidean_distance,4,596,0.7617702999996254,9,5364,948028,5424
euclidean_distance,4,655,0.8281997999984014,8,5240,1022142,5292
